timestamp,id,dist,response,button1,button2,stim1,place,F0_step,VOT_step,trial_type,subjectGroup,frame,word_pair,button1_voice,button2_voice,response_bin,response_num
255802,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiced,voiced,voiced,0
256878,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_9,BP,8,9,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
258220,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
259540,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
260649,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
262647,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
263875,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
265161,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
266284,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
267675,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_3_VOT_2,BP,3,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
269195,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiceless,1
270480,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
271782,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
273059,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
274417,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
275583,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
276820,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiced,voiced,voiced,0
278130,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
279317,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
280612,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiced,voiced,voiced,0
281800,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
283328,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
286101,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
287451,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
288704,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
290548,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
292125,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
293652,5cf8cc7e95c070001721db8d,canonical,2,pale,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiced,voiced,voiced,0
294866,5cf8cc7e95c070001721db8d,canonical,2,pale,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiced,voiced,voiced,0
296232,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
297510,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
298931,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_9,BP,8,9,train,1,ale,BP_ale,voiced,voiced,voiced,0
300008,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
301075,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiced,voiced,voiced,0
302433,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiced,voiced,voiced,0
303672,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
305644,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
306969,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
308699,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
309840,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
311182,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
312386,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
313494,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
314683,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
315879,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiced,voiced,voiced,0
317060,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
318394,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
319502,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
321022,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
322445,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
323803,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_9_VOT_8,BP,9,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
325170,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
326327,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_1,BP,2,1,train,1,ale,BP_ale,voiced,voiceless,voiced,0
327523,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
328662,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
329867,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
330983,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
332058,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_9_VOT_5,BP,9,5,test,1,ale,BP_ale,voiceless,voiced,voiceless,1
333142,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
334961,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
336133,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
337298,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
338438,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_2,BP,2,2,train,1,ale,BP_ale,voiced,voiceless,voiced,0
339926,5cf8cc7e95c070001721db8d,canonical,2,bale,pail,BP_F0_7_VOT_8,BP,7,8,train,1,ale,BP_ale,voiced,voiceless,voiceless,1
341153,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_8,BP,8,8,train,1,ale,BP_ale,voiced,voiced,voiced,0
342450,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
343629,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_7,BP,8,7,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
344947,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
346151,5cf8cc7e95c070001721db8d,canonical,1,pail,bale,BP_F0_8_VOT_9,BP,8,9,train,1,ale,BP_ale,voiceless,voiced,voiceless,1
347291,5cf8cc7e95c070001721db8d,canonical,1,pale,bale,BP_F0_8_VOT_9,BP,8,9,train,1,ale,BP_ale,voiced,voiced,voiced,0
348708,5cf8cc7e95c070001721db8d,canonical,2,pail,bale,BP_F0_1_VOT_2,BP,1,2,train,1,ale,BP_ale,voiceless,voiced,voiced,0
349984,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_1_VOT_5,BP,1,5,test,1,ale,BP_ale,voiced,voiceless,voiced,0
351141,5cf8cc7e95c070001721db8d,canonical,1,bale,pail,BP_F0_2_VOT_3,BP,2,3,train,1,ale,BP_ale,voiced,voiceless,voiced,0
